,type,sen
188,【伤感语句】,  人永远不知道，谁哪次不经意地跟你说了声“再见”之后，就真的再也不见了。
189,【伤感语句】,  两个注定走不到一起的人，为什么会安排他们相遇。
190,【伤感语句】,  后来，我们什么都有了，却没有了我们。
191,【伤感语句】,  时光匆匆，谁是谁的地老，谁又是谁的天荒?谁许了谁朝朝暮暮?
192,【伤感语句】,  有时候，虽然能想明白，但心里就是接受不了。大道理人人都懂，小情绪却难以自控。
193,【伤感语句】,  我算什么呢，算你流浪途中遇见的煞风景吗?
194,【伤感语句】, 因为我明白了世间沧桑，所以我选择了流浪四方……——绝望
195,【伤感语句】," 1、往后余生，风雪是你，平淡是你，清贫是你，荣华是你，心底温柔是你，目光所至，也是你。我用尽了毕生的幸运，只为了能够遇见你。多幸运，能够在最美的年纪遇见你!
2、最让人羡慕的不是被很多人追，而是遇见一个不管怎样都不会放弃你的人;纵然知道生活不会这么轻易，但我希望你在我的未来里，余生都是你。我与世界只差一个你，因为是你，晚一点没关系。
3、伤感说说，想和你重新认识一次，从你叫什么名字开始。你在我身边也好，在天边也罢，想到世界的角落有一个你，觉得整个世界也变得温柔安定了。
4、我这小半生唯一的亮点就是遇见你，仿佛后来遇见再多的人，都是为了告诉我你有多好。不是除了你，我就没人要了。只是除了你，我谁都不想要。
5、遇见你之前，我没有想过结婚，遇见你之后，结婚我没想过别人。你身上的味道最好闻，你笑起来的样子最好看，你陪着我的时候，我从没羡慕过任何人，很想陪你走完这一生。
6、我只希望这个世界，可以很小很小，小到我一转身便能看见你。我一生中最幸运的两件事：一件是时间终于将我对你的爱消耗殆尽;一件是很久很久以前有一天，我遇见你。
7、我能想到最浪漫的事，就是和你一起慢慢变老。我以为我真的不喜欢你了，可当你出现在我眼前，突然的激动和心跳，我就知道，你又赢了。
8、一生至少该有一次，为了某个人而忘了自己，不求有结果，不求曾经拥有，甚至不求你爱我，只求在我最美的年华里，遇到你。我想睡觉了，今晚你来我梦里吧，好长时间不见了，有点想你。
9、尽管没有深情的告白，也没有诚挚的诺言，但在顺其自然中我们就成为了彼此的唯一。余生漫漫，我愿与你风雨中执手，平淡中偕老。
10、你在的时候，你就是全世界，你不在的时候，全世界都是你。希望以后和你的生活，温柔，有趣，不必太激烈，三餐，四季，不必太匆忙，毕竟我有一生的时间要和你浪费。
11、最理想的婚姻大概是我在闹，他在笑。最初喜欢于样貌，然后却沉溺于才情，最后折服在于三观。我崇拜他像个英雄，他宠爱我像个孩子。"
196,【伤感语句】," 1、我试过销声匿迹，最终也无人问及。有时候，明明心如刀割，却要灿烂的微笑，明明很脆弱，却表现的如此坚强，明明受了委屈还得强颜欢笑，眼泪在眼里打转，却告诉每个人我很好。
2、我的不开心，我的难受，我都尽量留给了自己，我也从不指望任何人心疼我，为我扛下所有。好像每次都是这样，没有例外。在我们最需要有一个人去依靠的时候，往往到最后都是自己一个人挺过去。
3、你有没有试过回过头去看你跟一个人的聊天记录，从一开始到现在。看着看着就笑了，笑着笑着就哭了。一个人，从陌生走近你，然后再陌生，自始至终。
4、所有人都觉得你有数不清的暧昧关系，只有你自己知道你孤独得像条狗。后来我习惯了一个人的生活，习惯了不再表露难过，习惯了不再把心事诉说，也习惯了你不再爱我。
5、一个人的世界，一个人听歌，一个人走路，一个人喝酒，一个人难过，一个人开心，一个人自言自语，一个人自哼自唱，一个人等待月落晨起，一个人走过风风雨雨，一个人生活着，真的很寂寞，很孤单。
6、疯过，傻过，执着过，坚持过，忍耐过，到最后还是一个人过。安静的时候，会想起你，会想起以前一起说过的话，一起走过的路，一起的所有一切，一个人会傻笑，然后是无比的心痛。
7、多想告诉你，其实我过得没那么好，还是会经常想你，经常梦见你，只是时间让我学会了闭嘴。因为我知道，很多路都要一个人走，孤独才是人生的常态，熬过去就好。
8、我不是一个坚强的人，但是我知道，有些时候，除了坚强，别无选择。时间没有等我，是你忘了带我走，我们就这样迷散在陌生的风雨里，从此天各一方，两两相忘。
9、那些以前说着永不分离的人，早已经散落在天涯了。突然间想起某个人，一阵傻笑，然后，一阵失落。然而，多少你以为永远不会背叛你的人，就是利用了你的以为。
10、打一个巴掌，再给一颗糖，反反复复，你什么时候才明白，他只是没那么喜欢你。你永远也看不到我最寂寞时候的样子，因为只有你不在我身边的时候，我才最寂寞。"
197,【伤感语句】,  他放开她的手、说了分手。她强忍泪水，说：我们最后拍一次照好么?他答应了。。拍照时，她笑的狠美。男生很疑惑，她却说：因为3年前你说我拍照没有表情，结婚会不漂亮。所以、我一直在练习微笑。为了我们结婚那天!
