,type,sen
115,【励志的话】, 这些人，带给世人的是欢欣，是鼓舞，是信心，还有昂扬斗志。 
116,【励志的话】, 惜光阴百日犹短，看众志成城拼搏第一；细安排一刻也长，比龙争虎斗谁为争锋？ 
117,【励志的话】, 向着目标奔跑，何必在意折翼的翅膀，只要信心不死，就看的见方向，顺风适合行走，逆风更适合飞翔，人生路上什么都不怕，就怕自己投降。 
118,【励志的话】, 前程似锦，勇攀书山甘洒汗水放飞心中梦想；志存高远，泛游学海竞逐群雄一朝金榜题名。 
119,【励志的话】, 无论今后的道路多么坎坷，只要抓住今天，迟早会在奋斗中尝到人生的甘甜。抓住人生中的一分一秒，胜过虚度中的一月一年！ 
120,【励志的话】, 砺志报亲，拼十年寒窗挑灯苦读不畏难；笑书人生，携双亲期盼背水勇战定夺魁。 
121,【励志的话】, 回忆很美，尽管过程艰辛：也许结果总有遗憾，但我们无愧于心。 
122,【励志的话】, 人生，最宝贵的莫过于光阴。人生，最璀璨的莫过于事业。人生，最快乐的莫过于奋斗。 
123,【励志的话】, 学习如春起之苗，不见其增，日有所长；辍学似磨刀之石，不见其减，时有所亏。 
124,【励志的话】, 只要瞄准了大方向，坚持不懈地做下去，才能够扫除挡在梦想前面的障碍，实现美好的人生蓝图。 
125,【励志的话】, 不要以为那泥土下的希望近在咫尺，也不要以为那硕果飘香的日子遥遥无期。要学会用勤奋的汗水、坚韧的耐力和理智的期待来创造生命的秋季。 
126,【励志的话】, 一个人只要有梦想，生命就有了依托；一个人只有不懈地追逐着梦想，活着才觉得意义深远，趣味无穷，也才能将生命的潜能发挥到极致。 
127,【励志的话】, 成功之道无他，惟悉力从事你的工作，而不消存沽名钓誉之心。 
128,【励志的话】, 在奋斗的过程中，常会遭受挫折，惟有坚持到底，才会获得最后的成功。 
129,【励志的话】, 人生或如一轮红日，划破黎明的沉寂，炽热的梦想在喷勃或如一段段插曲在生命的华章里熠熠激荡迸溅起最璀璨的激昂。 
130,【励志的话】, 成功的花，人们只惊羡它的明艳，然而当初的芽儿浸透了奋斗的泪泉，洒遍了牺牲的血雨。 
131,【励志的话】, 我的生命，如果有一个不可妥协、誓不两立的敌人，不会是别人，恰恰就是我自己呀！ 
132,【励志的话】, 我们心革开放的成功，不是靠本本，而是靠实践，靠实事求是。 
133,【励志的话】, 每一个人都多多少少有点惰性。一个人的意志力量不够推动他自己，他就失败，谁最能推动自己，谁就最先得到成功。 
134,【励志的话】, 宁在事前心力交瘁的努力，事后悠然自得；不要在事前悠然自得，而在临事时无法适从。 
135,【励志的话】, 高山不爬不能到顶，竞走不跑不能取胜，永恒的幸福不争取不能获得。 
136,【励志的话】, 在面对生活中的挑战时，要有坚定的信心，持之以恒的精神，用不懈的努力，来克服眼前的困难，把绊脚石，化为走向成功脚下的一块垫脚石。 
137,【励志的话】, 时间是世界上的一切成就的土壤。时间给空想者痛苦，给创造者幸福。 
138,【励志的话】, 千万人的失败，都有是失败在做事不彻底；往往做到离成功尚差一步就终止不做了。 
139,【励志的话】, 生活在前进。它之所以前进，是因为有希望在；没有了希望，绝望就会把生命毁掉。 
140,【励志的话】, 一个成功的商人是虎，一个失败的商人是狼，你和他们中间哪个打交道。 
141,【励志的话】, 要想成功，就千万不能忽视任何事情，他必须对一切都下功夫，那也许还能有所收获。 
142,【励志的话】, 是时候该学会去面对一切了，是时候该长大了，是时候该懂事了。 
143,【励志的话】, 心存希望，幸福就会降临你；心存梦想，机遇就会笼罩你。 
144,【励志的话】, 一个有志气的人，他为之奋斗的目标应该是远大的，高尚的，而决不是被私利障住眼睛的懦夫。 
145,【励志的话】, 一生下来，就已登上一列开往死亡的列车，唯一有意义的事情，就是善待与你同车的人。 
146,【励志的话】, 人生之路多坎坷，摔个跟头别难过，爬起来，掸掸土，前方就是一片乐土。 
147,【励志的话】, 斧头虽小，但经历多次劈砍，终能将一棵最坚硬的橡树砍刀 
148,【励志的话】, 在爱情里，即使没有谁，即使失去谁，也可以一个人骄傲的活着。 
149,【励志的话】, 在劳力上劳心，是一切发明之母。事事在劳力上劳心，变可得事物之真理。 
150,【励志的话】, 你不是诗人，但可以诗意地生活。如果能够诗意地生活，那你就是诗人。 
151,【励志的话】, 勇敢地接受挑战，不断地超越自我，这样才能发出你的无限潜能。 
152,【励志的话】, 路再远也会有终点，夜再长也会有尽头，雨再大也会有停的时候。 
153,【励志的话】, 命不能争，运可以造，弱者认命，强者抗命，能者求命，智者造命。 
154,【励志的话】, 在一条不适合自己的路上奔波，就如同穿上一双不合脚的鞋，会令你十分痛苦。 
155,【励志的话】, 人生在世，最重要的不是自己处境如何，而是你如何看待自己的处境。 
156,【励志的话】, 一个获得成功的人，从他的同胞那里所取得的，总是无可比拟地超过他对他们所做的贡献。
157,【励志的话】, 如果你希望成功，当以恒心为良友，以经验为参谋，以当心为兄弟，以希望为哨兵。
158,【励志的话】, 熊熊的热忱，凭着切实有用的知识与坚忍不拔，是最常造就成功的品性。
159,【励志的话】, 真正迅速的人，并非事情仅仅做得快，而是做得成功而有效的人。 
160,【励志的话】, 大多数人是保守的，不轻易相信新事物，但能容忍对现实中的众多失败。 
161,【励志的话】, 把意念深潜得下，何理不可得，把志气奋发起，何事不可做。 
162,【励志的话】, 有益者不为，无益者为之，所以苦其劳而不见成功。 
163,【励志的话】, 失败和挫折等待着人们，一次又一次使青春的容颜蒙上哀愁，但也使人类生活的前景增添了一份尊严，这是任何成功都无法办到的。 
164,【励志的话】, 障碍与失败，是通往成功最稳靠的踏脚石，肯研究、利用它们，便能从失败中培养出成功。 
165,【励志的话】, 成功就像一座平衡的秤，一边是努力，一边是快乐；付出的多，收获的也多。 
166,【励志的话】, 当机会呈现在眼前时，若能牢牢掌握，十之八九都可以获得成功而能克服偶发事件，并且替自己找寻机会的人，更可以百分之百的获得胜利。 
167,【励志的话】, 奋斗，不是挂在嘴边说的，而是一件很具体的事情。只有奋斗，你才能踏上成功的阶梯，一步一步地走上去，获得最终的胜利。 
168,【励志的话】, 最有希望得成功者，并不是才干出众的人，而是那些最善于利用时机去努力开创的人。 
169,【励志的话】, 希望是坚韧的拐杖，忍耐是旅行袋，携带它们，人可以登上永恒之旅。 
170,【励志的话】, 失败带给我的经验与收获，在于我已经知道这样做不会成功的证明，下一次我可以避免同样的错误了。 
171,【励志的话】, 要成功就要周详考虑谋定而后动，一旦决定即雷厉风行一干到底，害怕失败什么都别干。 
172,【励志的话】, 假如樵夫害怕荆棘，船只避忌风浪，铁匠畏惧火星，那么，世界就会变成另一副模样。 
173,【励志的话】, 勤奋的含义是今天的热血，而不是明天的决心，后天的保证。
174,【励志的话】, 做自己的决定。然后准备好承担后果。从一开始就提醒自己，世上没有后悔药吃。
175,【励志的话】, 没有人可以宠你一辈子，要想走得精彩又坦荡，唯有独立坚强。
176,【励志的话】, 当你能飞的时候就不要放弃飞。当你能梦的时候就不要放弃梦。当你能爱的时候就不要放弃爱。 
